source,cohort,horizon_band,n_origins,n_predictions,P0_n,P0_mape,P0_wape,P0_rmse,P0_signed_error_pct,P0_mean_abs_error,P1_n,P1_mape,P1_wape,P1_rmse,P1_signed_error_pct,P1_mean_abs_error,wape_improvement_pct,mape_improvement_pct,signed_bias_change
ar1_production_h1_h12,balanced_ex_covid_calendar_2020_2021,h1_h12,26,312,312,1.101729,1.065287,26.845884,-0.818284,17.605817,312,1.428402,1.38054,33.729696,-1.227214,22.815941,-29.593195,-29.650902,-0.408931
ar1_production_h1_h12,all_available_ex_covid_june_years_fy2020_fy2021,all_horizons,56,510,510,1.695245,1.627189,43.139239,-0.364983,26.228827,510,2.005825,1.932203,46.887943,-0.915472,31.145388,-18.744875,-18.32064,-0.550488
ar1_production_h1_h12,all_available_ex_covid_june_years_fy2020_fy2021,h1_h12,56,510,510,1.695245,1.627189,43.139239,-0.364983,26.228827,510,2.005825,1.932203,46.887943,-0.915472,31.145388,-18.744875,-18.32064,-0.550488
ar1_production_h1_h12,balanced_ex_covid_june_years_fy2020_fy2021,all_horizons,26,312,312,1.187711,1.146165,27.473669,-0.95253,18.792309,312,1.574613,1.519941,35.587103,-1.400864,24.92068,-32.611062,-32.575386,-0.448335
ar1_production_h1_h12,balanced_ex_covid_june_years_fy2020_fy2021,h1_h12,26,312,312,1.187711,1.146165,27.473669,-0.95253,18.792309,312,1.574613,1.519941,35.587103,-1.400864,24.92068,-32.611062,-32.575386,-0.448335
vnext_ensemble_h1_h20,all_available,all_horizons,56,930,930,3.564249,3.448272,79.044603,1.584205,54.945762,930,3.643713,3.539664,74.940483,0.728356,56.402031,-2.650375,-2.22948,-0.855849
vnext_ensemble_h1_h20,all_available,h1_h12,56,606,606,2.663205,2.576128,63.120229,0.792199,41.209921,606,2.84674,2.760566,62.463967,0.237696,44.160342,-7.159492,-6.891504,-0.554503
vnext_ensemble_h1_h20,all_available,h13_h20,44,324,324,5.249534,5.098023,102.383372,3.06555,80.636873,324,5.134348,5.01341,93.928195,1.646072,79.298523,1.659724,2.194223,-1.419478
vnext_ensemble_h1_h20,balanced,all_horizons,37,740,740,3.870396,3.70372,85.836721,2.526252,59.740739,740,3.702221,3.563779,77.881844,1.740992,57.4835,3.778391,4.345186,-0.78526
vnext_ensemble_h1_h20,balanced,h1_h12,37,444,444,2.855496,2.720819,70.041911,1.737821,44.350425,444,2.810825,2.691788,65.728118,1.313322,43.877196,1.067023,1.564375,-0.424499
vnext_ensemble_h1_h20,balanced,h13_h20,37,296,296,5.392748,5.217653,105.171538,3.708899,82.82621,296,5.039314,4.906882,93.186243,2.382497,77.892957,5.95615,6.553873,-1.326402
vnext_ensemble_h1_h20,all_available_ex_covid_2020Q1_2021Q4,all_horizons,56,770,770,2.401296,2.340217,54.672253,0.050639,37.715035,770,2.685919,2.625479,55.59661,-0.788639,42.312319,-12.189526,-11.85287,-0.839278
vnext_ensemble_h1_h20,all_available_ex_covid_2020Q1_2021Q4,h1_h12,56,510,510,1.682553,1.648209,37.582972,-0.479005,26.656928,510,2.011667,1.968203,42.354971,-1.018152,31.832273,-19.414636,-19.560391,-0.539147
vnext_ensemble_h1_h20,all_available_ex_covid_2020Q1_2021Q4,h13_h20,43,260,260,3.811139,3.711993,77.984412,1.089558,59.405937,260,4.00849,3.928403,75.067808,-0.338439,62.869331,-5.830046,-5.178267,-1.427997
vnext_ensemble_h1_h20,balanced_ex_covid_2020Q1_2021Q4,all_horizons,13,260,260,1.270726,1.27828,27.254471,-1.031293,21.542375,260,1.597653,1.608477,34.094256,-1.437609,27.107057,-25.83133,-25.727589,-0.406316
vnext_ensemble_h1_h20,balanced_ex_covid_2020Q1_2021Q4,h1_h12,13,156,156,0.801776,0.807921,18.160726,-0.52692,13.562553,156,0.944254,0.952144,21.738032,-0.74866,15.983615,-17.851081,-17.770253,-0.22174
vnext_ensemble_h1_h20,balanced_ex_covid_2020Q1_2021Q4,h13_h20,13,104,104,1.97415,1.976988,36.909315,-1.787853,33.512108,104,2.577751,2.583445,46.87465,-2.471034,43.792219,-30.675812,-30.575249,-0.683181
vnext_ensemble_h1_h20,all_available_ex_covid_calendar_2020_2021,all_horizons,56,770,770,2.401296,2.340217,54.672253,0.050639,37.715035,770,2.685919,2.625479,55.59661,-0.788639,42.312319,-12.189526,-11.85287,-0.839278
vnext_ensemble_h1_h20,all_available_ex_covid_calendar_2020_2021,h1_h12,56,510,510,1.682553,1.648209,37.582972,-0.479005,26.656928,510,2.011667,1.968203,42.354971,-1.018152,31.832273,-19.414636,-19.560391,-0.539147
vnext_ensemble_h1_h20,all_available_ex_covid_calendar_2020_2021,h13_h20,43,260,260,3.811139,3.711993,77.984412,1.089558,59.405937,260,4.00849,3.928403,75.067808,-0.338439,62.869331,-5.830046,-5.178267,-1.427997
vnext_ensemble_h1_h20,balanced_ex_covid_calendar_2020_2021,all_horizons,13,260,260,1.270726,1.27828,27.254471,-1.031293,21.542375,260,1.597653,1.608477,34.094256,-1.437609,27.107057,-25.83133,-25.727589,-0.406316
vnext_ensemble_h1_h20,balanced_ex_covid_calendar_2020_2021,h1_h12,13,156,156,0.801776,0.807921,18.160726,-0.52692,13.562553,156,0.944254,0.952144,21.738032,-0.74866,15.983615,-17.851081,-17.770253,-0.22174
vnext_ensemble_h1_h20,balanced_ex_covid_calendar_2020_2021,h13_h20,13,104,104,1.97415,1.976988,36.909315,-1.787853,33.512108,104,2.577751,2.583445,46.87465,-2.471034,43.792219,-30.675812,-30.575249,-0.683181
vnext_ensemble_h1_h20,all_available_ex_covid_june_years_fy2020_fy2021,all_horizons,56,770,770,2.647321,2.559101,62.589456,0.296664,41.089577,770,2.911393,2.829429,61.77908,-0.563164,45.430026,-10.563382,-9.97509,-0.859828
vnext_ensemble_h1_h20,all_available_ex_covid_june_years_fy2020_fy2021,h1_h12,56,510,510,1.767554,1.715109,41.918895,-0.394004,27.646029,510,2.084374,2.026827,45.427243,-0.945445,32.670635,-18.174787,-17.924217,-0.551441
vnext_ensemble_h1_h20,all_available_ex_covid_june_years_fy2020_fy2021,h13_h20,43,260,260,4.373017,4.233965,90.304186,1.651436,67.459614,260,4.533624,4.422157,85.177882,0.186695,70.458061,-4.444803,-3.672665,-1.464742
vnext_ensemble_h1_h20,balanced_ex_covid_june_years_fy2020_fy2021,all_horizons,11,220,220,1.213799,1.222824,26.401765,-1.018746,20.608102,220,1.546201,1.558045,33.659011,-1.411662,26.257547,-27.413705,-27.38532,-0.392916
vnext_ensemble_h1_h20,balanced_ex_covid_june_years_fy2020_fy2021,h1_h12,11,132,132,0.690539,0.695467,15.98044,-0.378349,11.653247,132,0.814712,0.821241,19.235805,-0.596196,13.760714,-18.084805,-17.982126,-0.217847
vnext_ensemble_h1_h20,balanced_ex_covid_june_years_fy2020_fy2021,h13_h20,11,88,88,1.998688,2.002587,36.872366,-1.979343,34.040385,88,2.643435,2.647503,47.721046,-2.634861,45.002796,-32.204131,-32.258468,-0.655519
